stn_num,name,Lat,Lon
12126,BROAD ARROW,-30.45,121.3
12236,BRONTE,-31.25,119.5
9903,BROOK FARM,-34.5889,116.3433
9962,BROOKHAMPTON,-33.5925,115.8833
3044,BROOKING SPRINGS,-18.1103,125.6431
10015,BROOKLEA,-31.6,116.5
10524,BROOKTON,-32.3728,117.0086
9863,BROOKWOOD,-33.7167,116.7333
3003,BROOME AIRPORT,-17.9475,122.2352
3083,BROOME BIRD OBSERVATORY,-17.9769,122.3431
3089,BROOME COMPARISON,-17.9492,122.2339
3002,BROOME POST OFFICE,-17.95,122.25
3036,BROOME QUARANTINE STATION,-18,122.2167
10525,BROOMEHILL,-33.8441,117.6437
10526,BROOMEHILL EAST,-33.8269,117.8594
9171,BROWNS LAKE,-32.1667,115.8333
200784,BROWSE ISLAND,-14.1093,123.5476
10016,BRUCE ROCK,-31.8775,118.15
10171,BRUCE ROCK SOUTH,-31.9,118.2
9513,BRUNSWICK JUNCTION,-33.2136,115.85
9687,BRUNSWICK STATE FARM,-33.3,115.8
7008,BRYAH,-25.5059,118.7983
12237,BRYN AWELON,-32.7167,121.7
9839,BUCKINGHAM,-33.4,116.3167
10164,BUCKLANDS,-31.5667,116.6167
10172,BUDGEREE,-31.2,118.5
10724,BUDGINEE,-32.1,117.4
12239,BULGA DOWNS,-28.4967,119.7436
2075,BULKA,-19.0372,126.0933
11035,BULL CAMEL,-31.1956,124.8481
12127,BULLA BULLING,-31.0167,120.8667
5068,BULLARA,-22.6811,114.0394
7009,BULLARA,-27.4833,117.3
6006,BULLARDOO,-27.855,115.6733
12011,BULLFINCH,-30.9836,119.0669
12012,BULLFINCH NORTH,-30.8,119.1
7019,BULLOO DOWNS,-24.0019,119.5725
12013,BULONG,-30.7503,121.7519
10527,BULYEE,-32.3686,117.5214
9965,BUNBURY,-33.3567,115.6447
9514,BUNBURY POST OFFICE,-33.3267,115.63
9885,BUNBURY POWER STATION,-33.3158,115.66
9975,BUNDALEER,-34.7031,118.2992
8293,BUNDI FARM,-28.1128,115.0697
9072,BUNDIDUP,-30.2842,115.5242
7112,BUNGALOW,-26.0667,118.6667
7122,BUNGAR,-29.45,118.45
9271,BUNGENDORE,-32.1886,116.0564
2057,BUNGLE BUNGLE NATIONAL PARK,-17.4206,128.2992
